1,"Stone Villa","Thả tâm hồn vào góc riêng tư giữa sân Golf Tam Đảo","904235082","Stone Villa B12 sân Golf Tam Đảo, Vĩnh Yên, Vĩnh Phúc",1,"Khách sạn"
2,"Bách Xanh House","Điểm dừng chân không thể bỏ qua khi bạn đến Tam Đảo","094 561 44 63","Khu 2 - thị trấn Tam Đảo - Tam Đảo - Vĩnh Phúc, Tam Ðảo, Việt Nam",1,"Khách sạn"
3,"Mây Trắng Homestay","Ngôi nhà thiết kế theo không gian mở thì du khách có thể bắt trọn từng khung cảnh Tam Đảo tươi đẹp với những màn sương mờ ảo, những đám mây trôi lững lờ và cảnh rừng núi trùng trùng điệp diệp","866091515","Thôn 2- Thị trấn Tam Đảo- Vĩnh Phúc",1,"Khách sạn"
4,"Quán Tam Mount BBQ & Pub Tam Đảo","Nếu bạn đang tìm một quán buffet lẩu nướng ở Tam Đảo thì hãy tới Tam Mount BBQ & Pub","978281747","khu 1 thị trấn Tam Đảo, cách quảng trường 100m, đối diện khách sạn Gia Lê",1,"Nhà hàng"
5,"Quán Rock Café Tam Đảo","Không gian quán đẹp và sang chảnh cho mọi người check in","0971065006","Dốc Tam Đảo, nằm ngay cổng trường công viên Tam Đảo",1,"Nhà hàng"
6,"Khách sạn Sông Hồng Thủ đô","Với tiêu chuẩn 4 sao, lại nằm trên bán đảo hồ Đầm Vạc - nơi được coi là lá phổi xanh của thành phố Vĩnh Yên hiền hòa, tươi đẹp, Khách sạn Sông Hồng thực sự là điểm đến lý tưởng đối với du khách trong và ngoài nước vào mỗi dịp nghỉ ngơi, hội họp","2113777777","189 Lam Sơn, Tích Sơn, TP. Vĩnh Yên",1,"Khách sạn"
7,"Khách sạn Hoàng Qui","Khuôn viên khách sạn được bố trí hợp lý gồm nhà hàng, phòng nghỉ, sân tennis, bể bơi, khu thiên nhiên sinh thái và đội ngũ phục vụ chuyên nghiệp chắc chắn sẽ làm hài lòng quý khách.","02113840884","Khu Trại Ối, Ngô Quyền, TP. Vĩnh Yên",1,"Khách sạn"
8,"Lakeside Đại Lải Hotel","Nằm bên cạnh hồ Đại Lải thơ mộng, sơn thủy hữu tình, không gian nghỉ dưỡng yên bình, giữa thiên nhiên","0913261010","Khu A, hồ Đại Lải, Xuân Hòa, Phúc Yên",1,"Khách sạn"
9,"Paradise Dai Lai Resort","Nơi đây sở hữu vẻ đẹp của tạo hóa, nghệ thuật kiến trúc, hòa quyện phong cách sống đỉnh cao tạo nên một Resort sang trọng, thỏa mãn các tiêu chuẩn khắt khe nhất.","02437585085","Ngọc Thanh, Phúc Yên, Vĩnh Phúc",3,"Khách sạn"
10,"Nhà hàng Poem","Được bao quanh bởi hệ kính lớn từ mặt sàn đến phần mái cùng giếng trời ở trung tâm, nhà hàng dường như trong suốt giữa rừng cây xanh, ngập tràn ánh sáng tự nhiên, kết nối không giới hạn với khung cảnh thơ mộng bên ngoài, tạo nên sức sống hấp dẫn cho không gian ẩm thực","0869299988","Ngọc Thanh, Phúc Yên, Vĩnh Phúc",1,"Nhà hàng"
11,"The Beach Bar","The Beach Bar kề bên bãi biển với góc nhìn khoáng đạt và lãng mạn cùng kiến trúc mở, đường nét nhẹ nhàng, tạo nên không gian gần gũi, trang nhã cho những buổi gặp gỡ vui vẻ hay những phút giây thư giãn","0986009393","Ngọc Thanh, Phúc Yên, Vĩnh Phúc",4,"Nhà hàng"
12,"Nhà nghỉ Tây Thiên","Chuyên phục vụ du khách thập phương đến với Thiền viện trong việc ăn, nghỉ đầy đủ tiện nghi","0919289469","ĐT302, Đại Đình, Tam Đảo, Vĩnh Phúc",2,"Khách sạn"
